's	s'
Nicaraguan	Nicaraguans
Nigerian	Nigerians
No	Nos
Norman	Normans
Norwegian	Norwegians
November	Novembers
OAP	OAP's
October	Octobers
Olympic	Olympics
PA	PA's,PAs
PC	PCs,PC's
PS	PSs
PTA	PTAs,PTA's
Pakistani	Pakistanis
Palestinian	Palestinians
Panamanian	Panamanians
Paraguayan	Paraguayans
Parisian	Parisians
Passover	Passovers
Pentecost	Pentecosts
Persian	Persians
Peruvian	Peruvians
PhD	PhDs
Pharisee	Pharisees
Polaroid	Polaroids
Politburo	Politburos
Polynesian	Polynesians
Pope	Popes
Popsicle	Popsicles
Pre-Raphaelite	Pre-Raphaelites
Primus	Primuses
Protestant	Protestants
Provo	Provos
Pullman	Pullmans
Punjabi	Punjabis
QC	QCs
Quaker	Quakers
RC	RC's,RCs
Rasta	Rastas
Rastafarian	Rastafarians
Republican	Republicans
Rhodesian	Rhodesians
Roman	Romans
Romanian	Romanians
Romany	Romanies
Rumanian	Rumanians
Russian	Russians
SRN	SRNs
ST	STs
Sagittarius	Sagittariuses
Samaritan	Samaritans
Samoan	Samoans
Saturday	Saturdays
Saudi	Saudis
Scandinavian	Scandinavians
Scorpio	Scorpios
Scot	Scots
Scotsman	Scotsmen
Scotswoman	Scotswomen
Scotticism	Scotticisms
Sellotape	Sellotaping,Sellotapes,Sellotaped
September	Septembers
Shah	Shahs
Siberian	Siberians
Sicilian	Sicilians
Sikh	Sikhs
Singaporean	Singaporeans
Slav	Slavs
Somali	Somalis
Soviet	Soviets
Spaniard	Spaniards
Sunday	Sundays
Syrian	Syrians
T-shirt	T-shirts
T-square	T-squares
TRUE	truer,truest
TV	TVs
Tahitian	Tahitians
Tanzanian	Tanzanians
Taurus	Taurusses
Teasmaid	Teasmaids
Ted	Teds
Teletype	Teletypes
Thai	Thais
Thanksgiving	Thanksgivings
Thermos	Thermoses
Thur	Thurs
Thursday	Thursdays
Tibetan	Tibetans
Tory	Tories
Trojan	Trojans
Trotskyist	Trotskyists
Trotskyite	Trotskyites
Tue	Tues
Tuesday	Tuesdays
Tunisian	Tunisians
Turk	Turks
U	U's
U-bend	U-bends
U-turn	U-turns
UFO	UFOs
Ugandan	Ugandans
Ukrainian	Ukrainians
Uruguayan	Uruguayans
V-neck	V-necks
V-sign	V-signs
VC	VCs
VCR	VCRs
VDU	VDUs
VIP	VIPs
Venetian	Venetians
Venezuelan	Venezuelans
Victorian	Victorians
Viking	Vikings
Virgo	Virgos
WPC	WPCs
Walkman	Walkmans
Wednesday	Wednesdays
Welsh	Welshes
Welshman	Welshmen
Welshwoman	Welshwomen
Whig	Whigs
Whitsun	Whitsuns
X-ray	X-rays,X-raying,X-rayed
Xerox	Xeroxes,Xeroxing,Xeroxed
Xmas	Xmasses
YMCA	YMCAs
YWCA	YWCAs
Yankee	Yankees
Yemeni	Yemenis
Yugoslav	Yugoslavs
Yule	Yules
Zairean	Zaireans
Zambian	Zambians
Zimbabwean	Zimbabweans
Zionist	Zionists
Zulu	Zulus
a	as,an
aardvark	aardvarks
ab	abs
abacus	abacuses,abaci
abalone	abalones
abandon	abandoning,abandoned,abandons
abase	abases,abased,abasing
abash	abashes,abashing,abashed
abate	abating,abates,abated
abatement	abatements
abattoir	abattoirs
abbess	abbesses
abbey	abbeys
abbot	abbots
abbreviate	abbreviates,abbreviating,abbreviated
abbreviation	abbreviations
abcess	abcesses
abdicate	abdicated,abdicates,abdicating
abdication	abdications
abdomen	abdomens,abdomina
abdominal	abdominals
abduct	abducts,abducting,abducted
abduction	abductions
abductor	abductors
aberration	aberrations
abet	abets,abetting,abetted
abhor	abhorred,abhorring,abhors
abide	abides,abode,abided,abiding
ability	abilities
abject	abjecting,abjects,abjected
abjecter	abjecters
abjure	abjuring,abjured,abjures
ablate	ablating,ablates,ablated
ablation	ablations
able	abler,ablest
ablution	ablutions
abnormality	abnormalities
abode	abodes
abolish	abolishing,abolished,abolishes
abolition	abolitions
abolitionist	abolitionists
abominate	abominates,abominating,abominated
abomination	abominations
aboriginal	aboriginals
abort	aborts,aborted,aborting
abortifacient	abortifacients
abortion	abortions
abortionist	abortionists
abound	abounded,abounding,abounds
about-face	about-faces
about-turn	about-turns
abrade	abrades,abraded,abrading
abrasion	abrasions
abrasive	abrasives
abreaction	abreactions
abridge	abridged,abridges,abridging
abridgement	abridgements
abridgment	abridgments
abrogate	abrogating,abrogates,abrogated
abrogation	abrogations
abrupt	abruptest,abrupter
abruption	abruptions
abscess	abscesses
abscissa	abscissas,abscissae
abscond	absconded,absconding,absconds
abseil	abseils,abseiling,abseiled
absence	absences
absent	absenting,absents,absented
absentee	absentees
absenteeism	absenteeisms
absinthe	absinthes
absolute	absolutes
absolutist	absolutists
absolve	absolved,absolving,absolves
absorb	absorbing,absorbs,absorbed
absorbance	absorbances
absorbency	absorbencies
absorbent	absorbents
absorber	absorbers
absorptiometry	absorptiometries
absorption	absorptions
abstain	abstained,abstains,abstaining
abstainer	abstainers
abstention	abstentions
abstinence	abstinences
abstract	abstracts,abstracted,abstracting
abstraction	abstractions
absurdity	absurdities
abundance	abundances
abuse	abusing,abused,abuses
abuser	abusers
abut	abutting,abutted,abuts
abutment	abutments
abyss	abysses
acacia	acacias
academic	academics
academician	academicians
academy	academies
acanthus	acanthuses,acanthi
acaricide	acaricides
acc	accs
accede	accedes,acceding,acceded
accelerant	accelerants
accelerate	accelerates,accelerated,accelerating
acceleration	accelerations
accelerator	accelerators
accelerometer	accelerometers
accent	accented,accenting,accents
accentuate	accentuated,accentuating,accentuates
accentuation	accentuations
accept	accepts,accepting,accepted
acceptability	acceptabilities
acceptance	acceptances
acceptation	acceptations
acceptor	acceptors
access	accesses,accessed,accessing
accessibility	accessibilities
accession	accessioning,accessioned,accessions
accessory	accessories
accident	accidents
accidental	accidentals
acclaim	acclaimed,acclaiming,acclaims
acclimate	acclimated,acclimating,acclimates
acclimation	acclimations
acclimatisation	acclimatisations
acclimatise	acclimatised,acclimatises,acclimatising
acclimatization	acclimatizations
acclimatize	acclimatized,acclimatizes,acclimatizing
acclivity	acclivities
accolade	accolades
accommodate	accommodating,accommodates,accommodated
accommodation	accommodations
accompaniment	accompaniments
accompanist	accompanists
accompany	accompanies,accompanied,accompanying
accomplice	accomplices
accomplish	accomplished,accomplishes,accomplishing
accomplishment	accomplishments
accord	accorded,according,accords
accordion	accordions
accost	accosting,accosts,accosted
account	accounting,accounts,accounted
accountability	accountabilities
accountant	accountants
accounting	accountings
accoutrement	accoutrements
accredit	accredited,accredits,accrediting
accreditation	accreditations
accrete	accretes,accreting,accreted
accretion	accretions
accrual	accruals
accrue	accruing,accrues,accrued
accumulate	accumulating,accumulates,accumulated
accumulation	accumulations
accumulator	accumulators
accuracy	accuracies
accusation	accusations
accusative	accusatives
accuse	accuses,accusing,accused
accuser	accusers
accustom	accustoming,accustoms,accustomed
ace	aces
acetabulum	acetabulums,acetabula
acetal	acetals
acetate	acetates
acetazolamide	acetazolamides
acetone	acetones
acetyl	acetyls
acetylation	acetylations
acetylcholine	acetylcholines
acetylcholinesterase	acetylcholinesterases
acetylene	acetylenes
ache	aching,ached,aches
achieve	achieves,achieved,achieving
achievement	achievements
achiever	achievers
achromat	achromats
acid	acids
acidification	acidifications
acidify	acidified,acidifies,acidifying
acidity	acidities
acidosis	acidoses
ack	acks
acknowledge	acknowledging,acknowledges,acknowledged
acknowledgement	acknowledgements
acknowledgment	acknowledgments
acne	acnes
acolyte	acolytes
aconite	aconites
acorn	acorns
acoustic	acoustics
acoustician	acousticians
acquaint	acquaints,acquainted,acquainting
acquaintance	acquaintances
acquaintanceship	acquaintanceships
acquiesce	acquiesced,acquiesces,acquiescing
acquiescence	acquiescences
acquire	acquires,acquired,acquiring
acquirement	acquirements
acquisition	acquisitions
acquit	acquitting,acquits,acquitted
acquittal	acquittals
acre	acres
acreage	acreages
acrobat	acrobats
acrobatic	acrobatics
acromegaly	acromegalies
acronym	acronyms
acrostic	acrostics
acrylamide	acrylamides
acrylic	acrylics
act	acts,acted,acting
actin	actins
acting	actings
action	actioning,actioned,actions
activate	activated,activates,activating
activation	activations
activator	activators
active	actives
activist	activists
activity	activities
actor	actors
actress	actresses
actualisation	actualisations
actualise	actualising,actualised,actualises
actuality	actualities
actualization	actualizations
actualize	actualizes,actualized,actualizing
actuary	actuaries
actuate	actuated,actuates,actuating
actuation	actuations
actuator	actuators
acuity	acuities
acumen	acumens
acupoint	acupoints
acupuncture	acupunctures
acupuncturist	acupuncturists
acute	acutest,acuter
acuteness	acutenesses
acyl	acyls
ad	ads
ad-lib	ad-libs,ad-libbed,ad-libbing
adage	adages
adapt	adapts,adapted,adapting
adaptability	adaptabilities
adaptation	adaptations
adapter	adapters
adaption	adaptions
adaptogen	adaptogens
adaptor	adaptors
add	added,adding,adds
add-on	add-ons
addendum	addendums,addenda
adder	adders
addict	addicting,addicted,addicts
addiction	addictions
adding-machine	adding-machines
addition	additions
additive	additives
addle	addles,addling,addled
address	addresses,addressing,addressed
addressee	addressees
adduce	adducing,adduced,adduces
adduct	adducts,adducting,adducted
adductor	adductors
ade	ades
adenine	adenines
adenocarcinoma	adenocarcinomata,adenocarcinomas
adenoid	adenoids
adenoma	adenomata,adenomas
adenosine	adenosines
adenovirus	adenoviruses
adept	adepts
adequacy	adequacies
adhere	adhered,adhering,adheres
adherence	adherences
adherent	adherents
adhesin	adhesins
adhesion	adhesions
adhesive	adhesives
adieu	adieus,adieux
adipocyte	adipocytes
adit	adits
adjacency	adjacencies
adjective	adjectives
adjoin	adjoined,adjoining,adjoins
adjoint	adjoints
adjourn	adjourning,adjourns,adjourned
adjournment	adjournments
adjudge	adjudging,adjudges,adjudged
adjudicate	adjudicates,adjudicating,adjudicated
adjudication	adjudications
adjudicator	adjudicators
adjunct	adjuncts
adjure	adjures,adjuring,adjured
adjust	adjusts,adjusted,adjusting
adjuster	adjusters
adjustment	adjustments
adjutant	adjutants
adjuvant	adjuvants
adm	adms
administer	administers,administered,administering
administrate	administrating,administrates,administrated
administration	administrations
administrator	administrators
admiral	admirals
admire	admiring,admires,admired
admirer	admirers
admission	admissions
admit	admitted,admits,admitting
admittance	admittances
admix	admixes,admixed,admixing
admixture	admixtures
admonish	admonishing,admonishes,admonished
admonition	admonitions
adolescent	adolescents
adopt	adopts,adopting,adopted
adoptee	adoptees
adopter	adopters
adoption	adoptions
adore	adored,adoring,adores
adorer	adorers
adorn	adorning,adorned,adorns
adornment	adornments
adrenal	adrenals
adroit	adroitest,adroiter
adsorb	adsorbs,adsorbed,adsorbing
adsorbate	adsorbates
adsorbent	adsorbents
adsorber	adsorbers
adsorption	adsorptions
adult	adults
adulterant	adulterants
adulterate	adulterates,adulterating,adulterated
adulteration	adulterations
adulterer	adulterers
adulteress	adulteresses
adultery	adulteries
adumbrate	adumbrating,adumbrated,adumbrates
advance	advanced,advances,advancing
advancement	advancements
advantage	advantages,advantaged,advantaging
advent	advents
adventure	adventures,adventuring,adventured
adventurer	adventurers
adverb	adverbs
adverbial	adverbials
adversary	adversaries
adversity	adversities
advert	adverted,adverts,adverting
advertise	advertising,advertises,advertised
advertisement	advertisements
advertiser	advertisers
advertize	advertizes,advertizing,advertized
advertorial	advertorials
advice	advices
advisability	advisabilities
advise	advised,advises,advising
adviser	advisers
advisor	advisors
advisory	advisories
advocacy	advocacies
advocate	advocates,advocated,advocating
adze	adzes
aegis	aegises
aeon	aeons
aerate	aerated,aerating,aerates
aeration	aerations
aerator	aerators
aerial	aerials
aerodrome	aerodromes
aerodynamic	aerodynamics
aerogel	aerogels
aeronaut	aeronauts
aeroplane	aeroplanes
aerosol	aerosols
aerospace	aerospaces
aesthete	aesthetes
aesthetic	aesthetics
aether	aethers
aetiology	aetiologies
af	afs
affair	affairs
affect	affected,affects,affecting
affectation	affectations
affection	affections
affective	affectives
affidavit	affidavits
affiliate	affiliating,affiliated,affiliates
affiliation	affiliations
affinity	affinities
affirm	affirming,affirms,affirmed
affirmation	affirmations
affirmative	affirmatives
affix	affixes,affixed,affixing
afflict	afflicting,afflicted,afflicts
affliction	afflictions
affluent	affluents
afford	affording,afforded,affords
affordance	affordances
afforest	afforests,afforesting,afforested
affray	affrays
affront	affronting,affronts,affronted
aflatoxin	aflatoxins
after	afters
after-effect	after-effects
after-shave	after-shaves
afterbirth	afterbirths
afterburner	afterburners
afterglow	afterglows
afterlife	afterlives
aftermath	aftermaths
afternoon	afternoons
aftershave	aftershaves
aftertaste	aftertastes
afterthought	afterthoughts
ag	ags
agar	agars
agate	agates
agave	agaves
age	ages,aging,ageing,aged
age-group	age-groups
agency	agencies
agenda	agendas
agendum	agenda,agendums
agent	agents
agglomerate	agglomerating,agglomerates,agglomerated
agglomeration	agglomerations
agglutinate	agglutinated,agglutinating,agglutinates
agglutination	agglutinations
aggrandize	aggrandizes,aggrandizing,aggrandized
aggravate	aggravated,aggravating,aggravates
aggravation	aggravations
aggregate	aggregating,aggregated,aggregated.,aggregates
aggregation	aggregations
aggregator	aggregators
aggression	aggressions
aggressiveness	aggressivenesses
aggressor	aggressors
aggrieve	aggrieved,aggrieves,aggrieving
agitate	agitates,agitated,agitating
agitation	agitations
agitator	agitators
agnostic	agnostics
agonise	agonised,agonises,agonising
agonist	agonists
agonize	agonized,agonizes,agonizing
agony	agonies
agora	agorae
agoraphobia	agoraphobias
agoraphobic	agoraphobics
agouti	agoutis
agranulocytosis	agranulocytoses
agree	agrees,agreed,agreeing
agreement	agreements
agribusiness	agribusinesses
agriculturalist	agriculturalists
agriculturist	agriculturists
agrochemical	agrochemicals
agroecosystem	agroecosystems
agronomist	agronomists
agua	aguas
ague	agues
ah	ahs
aid	aided,aids,aiding
aide	aides
aide-de-camp	aides-de-camp
ail	ailing,ailed,ails
aileron	ailerons
ailment	ailments
aim	aimed,aims,aiming
air	aired,airing,airs
air-bladder	air-bladders
air-conditioner	air-conditioners
air-dry	air-dries,air-drying,air-dried
air-flow	air-flows
air-pump	air-pumps
air-raid	air-raids
air-shaft	air-shafts
airbag	airbags
airbed	airbeds
airbrick	airbricks
airbrush	airbrushes,airbrushing,airbrushed
airbus	airbuses
airconditioning	airconditionings
aircraft	aircrafts
aircrew	aircrews
airdrop	airdrops
aire	airig
airfield	airfields
airflow	airflows
airframe	airframes
airgun	airguns
airlane	airlanes
airletter	airletters
airlift	airlifts,airlifted,airlifting
airline	airlines
airliner	airliners
airlock	airlocks
airmail	airmails,airmailing,airmailed
airman	airmen
airplane	airplanes
airport	airports
airship	airships
airspace	airspaces
airspeed	airspeeds
airstream	airstreams
airstrike	airstrikes
airstrip	airstrips
airwave	airwaves
airway	airways
airwoman	airwomen
airy	airier,airiest
aisle	aisles
aitch	aitches
ala	alae
alanine	alanines
alarm	alarmed,alarms,alarming
alarmist	alarmists
albatross	albatrosses
albedo	albedos
albinism	albinisms
albino	albinos
album	albums
albumen	albumens
albumin	albumins
alchemist	alchemists
alchemy	alchemies
alcohol	alcohols
alcoholic	alcoholics
alcoholism	alcoholisms
alcopop	alcopops
alcove	alcoves
aldehyde	aldehydes
alder	alders
alderman	aldermen
aldosterone	aldosterones
ale	ales
alert	alerts,alerting,alerted
alexandrine	alexandrines
alexithymia	alexithymias
alfa	alfas
alfalfa	alfalfas
alga	algas,algae
algebra	algebras
alginate	alginates
algorithm	algorithms
alias	aliases,aliasing,aliased
alibi	alibis
alien	aliens
alienate	alienates,alienating,alienated
alienation	alienations
alight	alighting,alights,alit,alighted
align	aligns,aligned,aligning
alignment	alignments
aliment	aliments
aliquot	aliquots
alkali	alkalis,alkalies
alkalinity	alkalinities
alkaloid	alkaloids
alkalosis	alkaloses
alkane	alkanes
alkene	alkenes
alkyl	alkyls
alkylation	alkylations
alkyne	alkynes
all-rounder	all-rounders,all-rounders.
allantoin	allantoins
allay	allaying,allayed,allays
allegation	allegations
allege	alleging,alleges,alleged
allegiance	allegiances
allegory	allegories
allele	alleles
allergen	allergens
allergenicity	allergenicities
allergy	allergies
alleviate	alleviates,alleviated,alleviating
alley	alleys
alley-way	alley-ways
alleyway	alleyways
alliance	alliances
alligator	alligators
alliteration	alliterations
allium	alliums
alloantibody	alloantibodies
allocate	allocated,allocates,allocating
allocation	allocations
allocator	allocators
allograft	allografts
allophone	allophones
allot	allots,allotted,allotting
allotment	allotments
allow	allows,allowing,allowed
allowance	allowances
alloy	alloyed,alloys,alloying
allspice	allspices
allude	alludes,alluded,alluding
allure	alluring,allures,allured
allurement	allurements
allusion	allusions
alluvium	alluvia,alluviums
ally	allied,allies,allying
almanac	almanacs
almond	almonds
almshouse	almshouses
aloe	aloes
aloha	alohas
alopecia	alopecias
alpaca	alpacas
alpha	alphas
alpha-blocker	alpha-blockers
alpha-helix	alpha-helixes,alpha-helices
alphabet	alphabets
alphabetize	alphabetizing,alphabetized,alphabetizes
alpine	alpines
also-ran	also-rans
altar	altars
alter	altered,alters,altering
alteration	alterations,altercations
altercation	altercations
alternate	alternated,alternating,alternates
alternation	alternations
alternative	alternatives
alternator	alternators
altimeter	altimeters
altitude	altitudes
alto	altos
altruism	altruisms
aluminium	aluminiums
aluminum	aluminums
alumna	alumnae
alumnus	alumni
alveolus	alveoli
amah	amahs
amalgam	amalgams
amalgamate	amalgamating,amalgamates,amalgamated
amalgamation	amalgamations
amanuensis	amanuenses
amaranth	amaranths
amass	amasses,amassing,amassed
amateur	amateurs
amaze	amazed,amazing,amazes
amazon	amazons
ambassador	ambassadors
ambiance	ambiances
ambience	ambiences
ambiguity	ambiguities
ambit	ambits
ambition	ambitions
amble	ambling,ambles,ambled
amblyopia	amblyopias
ambulance	ambulances
ambulanceman	ambulancemen
ambulation	ambulations
ambush	ambushes,ambushed,ambushing
ameliorate	ameliorates,ameliorated,ameliorating
amelioration	ameliorations
amen	amens
amend	amended,amends,amending
amendment	amendments
amenity	amenities
amenorrhea	amenorrheas
amenorrhoea	amenorrhoeas
amerce	amerced,amercing,amerces
americanise	americanises,americanising,americanised
amethyst	amethysts
amide	amides
amine	amines
amino-acid	amino-acids
aminoacid	aminoacids
aminoglycoside	aminoglycosides
amir	amirs
ammeter	ammeters
ammonia	ammonias
ammonite	ammonites
ammonium	ammoniums
ammunition	ammunitions
amnesia	amnesias
amnesty	amnesties
amniocentesis	amniocenteses
amoeba	amoebas,amoebae
amor	amors
amortisation	amortisations
amortise	amortising,amortises,amortised
amortization	amortizations
amortize	amortized,amortizes,amortizing
amount	amounting,amounts,amounted
amour	amours
amp	amps
amperage	amperages
ampere	amperes
ampersand	ampersands
amphetamine	amphetamines
amphibian	amphibians
amphibole	amphiboles
amphipod	amphipods
amphitheater	amphitheaters
amphitheatre	amphitheatres
amphora	amphoras,amphorae
amphotericin	amphotericins
ample	ampler,amplest
amplicon	amplicons
amplification	amplifications
amplifier	amplifiers
amplify	amplifies,amplified,amplifying
amplitude	amplitudes
ampoule	ampoules
amputate	amputated,amputates,amputating
amputation	amputations
amputee	amputees
ampère	ampères
amulet	amulets
amuse	amuses,amused,amusing
amusement	amusements
amygdala	amygdalae,amygdalas
amyl	amyls
amylase	amylases
amyloid	amyloids
amyloidosis	amyloidoses
anachronism	anachronisms
anaconda	anacondas
anaemia	anaemias
anaerobe	anaerobes
anaesthesia	anaesthesias
anaesthesiologist	anaesthesiologists
anaesthetic	anaesthetics
anaesthetise	anaesthetising,anaesthetises,anaesthetised
anaesthetist	anaesthetists
anaesthetize	anaesthetized,anaesthetizing,anaesthetizes
anagram	anagrams
analgesia	analgesias
analgesic	analgesics
analog	analogs
analogue	analogues
analogy	analogies
analysand	analysands
analyse	analysing,analysed,analyses
analyser	analysers
analysis	analyses
analyst	analysts
analyte	analytes
analytic	analytical
analyze	analyzes,analyzing,analyzed
analyzer	analyzers
anapaest	anapaests
anaphylaxis	anaphylaxes
anarchist	anarchists
anarchy	anarchies
anastomosis	anastomoses
anathema	anathemata,anathemas
anatomist	anatomists
anatomy	anatomies
ancestor	ancestors
ancestry	ancestries
anchor	anchoring,anchors,anchored
anchorage	anchorages
anchoress	anchoresses
anchorite	anchorites
anchorman	anchormen
anchovy	anchovies
ancient	ancients
ancillary	ancillaries
and	'n'
andante	andantes
androgen	androgens
android	androids
anecdote	anecdotes
anemia	anemias
anemometer	anemometers
anemone	anemones
anesthesia	anesthesias
anesthesiologist	anesthesiologists
anesthetic	anesthetics
anesthetist	anesthetists
anesthetize	anesthetized,anesthetizing,anesthetizes
aneuploidy	aneuploidies
aneurysm	aneurysms
angel	angels
angelfish	angelfishes
angelica	angelicas
anger	angered,angers,angering
angina	anginas
angioedema	angioedemas,angioedemata
angiogenesis	angiogeneses
angiogram	angiograms
angiography	angiographies
angiosperm	angiosperms
angiotensin	angiotensins
angle	angling,angled,angles
angler	anglers
anglican	anglicans
anglicise	anglicises,anglicised,anglicising
anglicize	anglicizes,anglicizing,anglicized
angling	anglings
anglophone	anglophones
angora	angoras
angry	angrier,angriest
angstrom	angstroms
angularity	angularities
angulation	angulations
anhydrase	anhydrases
anhydride	anhydrides
aniline	anilines
animal	animals
animate	animated,animating,animates
animation	animations
animator	animators
animist	animists
animosity	animosities
anion	anions
anisotropy	anisotropies
ankle	ankles
anklet	anklets
ankylose	ankyloses,ankylosed,ankylosing
anna	annas
anneal	annealing,anneals,annealed
annex	annexing,annexes,annexed
annexation	annexations
annexe	annexing,annexes,annexed
annihilate	annihilates,annihilated,annihilating
annihilation	annihilations
anniversary	anniversaries
